Input 1,Input 2,Input 3,Input 4,Input 5,Input 6,Input 7,Input 8,Input 9,Input 10,Input 11,Input 12,Input 13,Output 1,Output 2,Output 3,Output 4
21.29468401,459,28.5,20.6,23,112.939,18.941,68.679,1.576,14.657,5.536,1.672,13.082,61.16297872,3.235215592,3.355926437,0.280258107
32.70511113,130,54.2,48.1,32,270.733,28.916,68.539,2.472,12.358,37.515,1.681,14.634,26.55788117,2.125191857,2.876175885,0.185695451
3.513264365,179,11,5.9,21,492.048,20.854,39.301,1.831,12.274,64.331,2.117,6.024,2.683568289,0.18462003,0.439601766,0.026247201
25.57615487,170,28.8,19.3,22,318.377,22.202,30.441,2.377,12.202,58.514,2.246,10.566,30.58767879,2.194152161,2.480421925,0.212524755
43.53170132,408,58.5,43.3,25,271.1,20.922,9.151,1.876,11.859,46.977,2.481,17.126,89.89646075,4.25832254,4.947879854,0.26214743
15.14903206,177,20.3,12.6,32,152.265,35.48,11.472,2.407,9.549,20.387,2.294,8.707,21.59855209,1.805312167,2.245108356,0.125123107
8.020075796,445,29,23.1,34,312.023,37.133,40.332,2.273,6.777,40.761,2.07,19.898,15.18151448,0.720328278,0.995795063,0.049388641
27.29693742,481,34.8,18.4,29,403.08,27.592,5.301,1.427,12.37,35.923,1.465,13.394,63.68599895,2.679223995,4.758834905,0.209749377
53.53887125,389,48.2,33.8,32,415.536,33.006,42.969,1.896,14.117,75.017,1.716,9.781,106.6553539,5.08664424,12.40213885,0.546838478
38.66639353,448,59.6,42.7,22,120.974,21.242,22.218,1.512,5.696,58.567,2.094,15.795,87.64321717,5.165695687,13.66739148,0.885840715
49.20618662,126,56.3,41.8,21,488.432,17.642,55.641,1.252,6.172,42.92,2.272,10.055,22.43248087,1.815296762,7.141071499,0.593665524
48.69404896,145,43.6,29.1,33,372.196,29.755,39.908,1.456,4.945,21.39,1.769,19.035,45.69653169,3.484801462,5.027659536,0.365230898
19.41001741,361,35,24.6,16,205.506,15.604,1.679,2.422,7.94,15.157,1.278,16.319,28.2198153,1.638158908,2.063207964,0.180816062
15.95820957,186,28.8,19.9,24,438.411,22.835,14.73,1.217,11.06,24.386,1.777,8.628,13.54373068,0.945948228,2.099513,0.163309269
8.337601147,363,27.3,16.6,34,160.396,38.645,26.706,1.741,11.651,34.313,1.535,10.204,14.74958462,0.847973595,0.996954949,0.081350149
30.24685035,101,56.9,45.8,20,192.885,20.425,46.823,2.358,8.379,50.979,2.263,8.524,11.87948892,1.264557825,4.496742467,0.35624991
4.260985353,455,11.8,6.7,30,362.616,32.503,4.616,1.379,9.8,30.443,1.402,10.488,8.25957696,0.371003075,0.425456838,0.030879383
21.70439414,100,26.3,17.1,16,429.256,17.362,34.788,2.011,7.553,72.24,1.377,9.662,15.00851667,1.333751581,1.626822477,0.156783715
